gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,NumServices,AvgMonthlyRevenue,ContractMonths,HighValue,Cluster,PCA1,PCA2,silhouette,TSNE1,TSNE2,MonthlyBin,LTV,TotalRevenue
Male,No,Yes,Yes,64,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Mailed check,24.8,1514.85,No,0,23.66953125,24,0,1,-2.496809485,3.190535766,0.296580159,-35.15792,66.98028,"(18.249, 25.05]",595.2,1514.85
Male,Yes,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,No,4,104.4992308,12,1,0,4.210569255,-0.497336737,0.145908563,39.4565,-9.868767,"(94.25, 118.75]",1237.8,6792.45
Male,No,No,No,47,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,100.75,4669.2,No,4,99.34468085,1,1,0,2.246968178,-0.334431475,0.013573849,-19.550781,-8.1259775,"(94.25, 118.75]",100.75,4669.2
Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,Yes,3,95.6,1,1,2,0.97038429,-2.96220133,0.245707028,9.578238,-58.250526,"(94.25, 118.75]",95.6,95.6
Female,No,No,No,49,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),59.75,2934.3,Yes,2,59.88367347,1,0,2,0.173994867,0.071900308,0.102305021,14.284378,-31.431759,"(58.83, 79.1]",59.75,2934.3
Female,No,Yes,Yes,67,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),94.1,6302.8,No,3,94.07164179,24,1,0,3.027492041,2.715145053,0.181305971,40.23593,54.259815,"(79.1, 94.25]",2258.4,6302.8
Male,No,No,Yes,39,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.35,779.2,No,0,19.97948718,12,0,1,-3.508777813,1.447242756,0.303055841,-45.774776,20.002432,"(18.249, 25.05]",232.2,779.2
Male,No,No,No,14,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.9,283.75,No,0,20.26785714,1,0,1,-4.341129007,0.128990821,0.317770273,-57.309143,-26.03186,"(18.249, 25.05]",19.9,283.75
Female,Yes,No,No,43,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.15,4600.7,Yes,5,106.9930233,1,1,0,3.675301842,-1.074586327,0.048259668,22.279982,-22.701315,"(94.25, 118.75]",108.15,4600.7
Male,Yes,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594,No,3,99.89285714,1,1,2,2.997310943,-2.563733751,0.076108826,53.40858,-18.495443,"(94.25, 118.75]",101.05,5594
Female,No,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Credit card (automatic),59.1,772.85,No,2,55.20357143,12,0,2,-0.79386385,0.436471068,0.000439476,23.324345,6.429702,"(58.83, 79.1]",709.2,772.85
Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.35,71.35,Yes,0,71.35,1,1,2,-1.800120369,-2.6177257,0.182303074,-9.528066,-63.306328,"(58.83, 79.1]",71.35,71.35
Male,No,Yes,Yes,16,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Mailed check,55.85,857.8,No,2,53.6125,12,0,1,-1.059999933,1.004551134,0.052669589,2.3528345,11.091832,"(25.05, 58.83]",670.2,857.8
Male,No,Yes,Yes,70,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.05,7554.05,No,4,107.915,1,1,0,4.032618476,-0.690505823,0.095625734,-16.56784,-30.668205,"(94.25, 118.75]",106.05,7554.05
Male,Yes,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,No,5,83.07847222,24,1,0,4.163946092,2.374826001,0.222476467,49.632423,46.9909,"(79.1, 94.25]",2018.4,5981.65
Female,No,Yes,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.3,1702.9,No,1,74.03913043,1,1,2,-0.191961107,-0.532934444,0.124071723,10.454138,-27.962631,"(58.83, 79.1]",75.3,1702.9
Male,No,No,Yes,21,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.7,467.15,No,0,22.2452381,1,0,1,-3.814210619,0.603898554,0.279058023,-59.77373,-19.394094,"(18.249, 25.05]",24.7,467.15
Female,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,20.15,20.15,Yes,0,20.15,1,0,1,-4.233945662,-0.44305473,0.258238132,-66.81476,2.0861833,"(18.249, 25.05]",20.15,20.15
Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,69.75,Yes,0,69.75,1,0,2,-1.974339459,-1.48018694,0.07704884,-26.638348,-19.157757,"(58.83, 79.1]",69.75,69.75
Female,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.2,2931,Yes,2,91.59375,1,1,2,1.75866121,-2.77887959,0.190530745,36.829967,-42.119305,"(79.1, 94.25]",93.2,2931
Male,No,Yes,Yes,17,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,80.85,1400.85,Yes,1,82.40294118,1,1,2,-0.371173405,-1.596192861,0.180011464,-25.963991,-26.025568,"(79.1, 94.25]",80.85,1400.85
Female,No,No,No,4,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,33.65,137.85,Yes,2,34.4625,1,0,2,-1.66614928,-1.166390069,0.084300037,-10.018591,42.015446,"(25.05, 58.83]",33.65,137.85
Female,No,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,No,1,53.93055556,12,0,2,-0.774186804,-0.413566716,0.038266903,9.242249,-0.39450973,"(25.05, 58.83]",669.6,1941.5
Female,No,No,No,50,No,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),39.7,1932.75,No,3,38.655,24,0,0,-0.043226562,3.057494787,-0.02501495,14.51937,39.30057,"(25.05, 58.83]",952.8,1932.75
Female,No,Yes,Yes,48,No,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),29.5,1423.05,No,1,29.646875,1,0,1,-1.607556506,1.282629768,0.056039046,-3.79927,28.617126,"(25.05, 58.83]",29.5,1423.05
Female,No,No,Yes,50,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.15,970.85,No,0,19.417,24,0,1,-3.062157258,3.231722286,0.315658127,-0.10971855,61.244534,"(18.249, 25.05]",483.6,970.85
Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),79.55,5810.9,No,5,80.70694444,24,1,0,3.517784376,3.617414561,0.252887945,28.784372,50.603886,"(79.1, 94.25]",1909.2,5810.9
Male,No,No,Yes,10,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),24.8,223.9,No,0,22.39,1,0,1,-3.416333371,0.622753067,0.219248796,-38.792473,-3.422341,"(18.249, 25.05]",24.8,223.9
Female,No,No,No,18,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.65,391.7,No,0,21.76111111,1,0,1,-4.266478553,0.172976623,0.315086323,-66.79763,-5.4221597,"(18.249, 25.05]",19.65,391.7
Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.95,79.95,Yes,1,79.95,1,1,2,-0.664223422,-3.118754327,0.274154019,-35.14438,-43.602192,"(79.1, 94.25]",79.95,79.95
Female,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19.3,19.3,Yes,0,19.3,1,0,1,-3.993007202,-0.907243113,0.185366933,-49.299004,-10.19742,"(18.249, 25.05]",19.3,19.3
Male,No,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.05,811.65,No,3,90.18333333,1,1,2,1.173430561,-2.932191026,0.240992746,-23.34197,-44.950565,"(79.1, 94.25]",94.05,811.65
Male,No,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,90.75,174.75,No,2,87.375,1,1,2,-0.245743612,-1.657077584,0.15945123,-21.46646,-4.3739676,"(79.1, 94.25]",90.75,174.75
Female,No,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),78.85,3126.85,No,1,78.17125,1,1,2,0.546562242,-0.600702822,0.145933085,18.01855,-28.951479,"(58.83, 79.1]",78.85,3126.85
Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),99.5,6841.45,No,3,99.15144928,12,1,0,3.08264174,0.235449073,0.123774063,23.427721,-9.722195,"(94.25, 118.75]",1194,6841.45
Female,No,Yes,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,99.2,3754.6,Yes,4,101.4756757,12,1,0,3.212574661,-0.639042452,0.071718998,28.67188,-4.8453712,"(94.25, 118.75]",1190.4,3754.6
Male,No,No,Yes,18,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),80.55,1406.65,No,1,78.14722222,1,1,2,0.007073279,-1.121370476,0.160999888,3.0101194,-21.451653,"(79.1, 94.25]",80.55,1406.65
Male,Yes,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.2,834.7,No,0,75.88181818,1,0,2,-0.963573007,-2.844824674,0.222114683,49.40355,-28.638947,"(58.83, 79.1]",70.2,834.7
Female,No,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.2,627.4,Yes,1,78.425,1,1,2,0.11286941,-1.644370726,0.199004279,17.954994,-28.54358,"(79.1, 94.25]",85.2,627.4
Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,242,Yes,0,80.66666667,1,1,2,-1.234666014,-2.716193824,0.21011536,-5.933795,-68.49814,"(58.83, 79.1]",75.25,242
Male,No,Yes,Yes,55,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),59.45,3157,No,2,57.4,12,0,0,0.035460708,1.985443505,-0.031739672,23.267506,16.610191,"(58.83, 79.1]",713.4,3157
Male,No,Yes,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.35,3092,No,3,93.6969697,1,1,2,2.214774264,-1.934502112,0.114152176,-17.702574,-34.0671,"(79.1, 94.25]",93.35,3092
Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.95,2168.9,No,0,47.15,1,0,1,-2.213724545,-0.361478566,0.05915207,-8.511955,-49.124523,"(25.05, 58.83]",44.95,2168.9
Male,No,No,No,34,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),26.1,980.35,No,0,28.83382353,24,0,1,-2.784875247,2.02549765,0.285573923,-20.497543,55.39531,"(25.05, 58.83]",626.4,980.35
Female,No,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.2,65.95,No,0,21.98333333,1,0,1,-3.929646046,-0.899671695,0.18307131,-49.28032,-10.208693,"(18.249, 25.05]",20.2,65.95
Male,No,Yes,Yes,30,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,21.25,711.9,No,0,23.73,24,0,1,-3.554824304,3.146878773,0.366551007,-37.40331,64.23212,"(18.249, 25.05]",510,711.9
Female,No,No,No,33,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Electronic check,59.4,1952.8,No,2,59.17575758,12,0,2,-0.222611355,0.056509262,0.061298421,10.059264,0.487714,"(58.83, 79.1]",712.8,1952.8
Male,No,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),95,4368.85,No,3,97.08555556,12,1,0,2.747895264,0.474084648,0.099270506,29.969547,15.170673,"(94.25, 118.75]",1140,4368.85
Male,No,No,No,40,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,61.9,2647.1,No,3,66.1775,1,0,2,-0.159225476,0.15591793,0.077723356,-20.682674,6.36887,"(58.83, 79.1]",61.9,2647.1
Female,No,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.65,8477.6,No,6,119.4028169,24,1,0,5.918488107,0.901794841,0.244636317,52.47901,24.054487,"(94.25, 118.75]",2847.6,8477.6
Male,No,No,No,1,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,54.35,54.35,Yes,1,54.35,1,0,2,-1.544814788,-1.680166665,0.111886705,-38.41399,-30.466076,"(25.05, 58.83]",54.35,54.35
Female,No,Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),64.45,4528,No,6,62.88888889,24,0,0,3.07797319,4.029431245,0.216095662,16.268791,33.461723,"(58.83, 79.1]",1546.8,4528
Female,No,Yes,Yes,22,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,No,1,81.39318182,1,1,2,-0.039248599,-1.873657624,0.220348686,-0.3004899,-40.058723,"(79.1, 94.25]",80.15,1790.65
Male,No,Yes,Yes,46,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.2,845.6,No,0,18.3826087,12,0,1,-3.020392919,1.568698952,0.271532435,-47.4384,21.71628,"(18.249, 25.05]",242.4,845.6
Female,No,Yes,Yes,55,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,21,1210.3,No,0,22.00545455,24,0,1,-3.283287868,3.510119909,0.363573002,-47.41148,43.206318,"(18.249, 25.05]",504,1210.3
Male,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.45,20.45,No,0,20.45,1,0,1,-4.479965053,-0.062573523,0.309839422,-60.401627,-30.016722,"(18.249, 25.05]",20.45,20.45
Female,No,No,No,12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,75.85,854.45,No,3,71.20416667,12,1,2,0.375731488,-0.424080818,0.088102907,9.905434,9.480783,"(58.83, 79.1]",910.2,854.45
Male,No,No,No,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,80.45,2429.1,No,1,78.35806452,1,1,2,0.207263668,-2.412472502,0.266224497,-33.456593,-35.856213,"(79.1, 94.25]",80.45,2429.1
Male,No,Yes,No,5,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.95,100.4,Yes,0,20.08,1,0,2,-2.937565678,-1.161718236,-0.002885445,-14.298404,34.942764,"(18.249, 25.05]",24.95,100.4
Female,No,Yes,Yes,67,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,75.5,5229.45,No,3,78.05149254,24,1,0,2.334830156,1.812669991,0.115831792,35.78805,37.462948,"(58.83, 79.1]",1812,5229.45
Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,44.45,No,0,44.45,1,0,1,-3.326052073,-0.858125574,0.124333053,-28.843733,1.6251786,"(25.05, 58.83]",44.45,44.45
Male,No,Yes,No,40,No,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Electronic check,42.35,1716.45,Yes,3,42.91125,12,0,2,0.093372697,0.611695071,0.05120536,-0.9172275,21.785597,"(25.05, 58.83]",508.2,1716.45
Male,No,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),74.55,3023.55,No,4,73.74512195,1,1,0,1.996907117,0.849983508,0.050769915,6.3567753,-24.189932,"(58.83, 79.1]",74.55,3023.55
Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,75.3,Yes,0,75.3,1,1,2,-1.104969316,-3.089875214,0.250981939,-39.370712,-36.750854,"(58.83, 79.1]",75.3,75.3
Male,No,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,94.8,4837.6,Yes,3,94.85490196,12,1,0,2.51473572,-1.127421389,0.001623577,15.091205,-9.122133,"(94.25, 118.75]",1137.6,4837.6
Male,No,Yes,Yes,42,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),48.15,2032.3,No,4,48.38809524,24,0,0,0.903628279,3.901247171,0.069074667,16.64581,39.811512,"(25.05, 58.83]",1155.6,2032.3
Male,No,Yes,Yes,23,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.65,436.9,No,0,18.99565217,12,0,1,-3.898523179,1.826365158,0.340213364,-54.52362,25.695845,"(18.249, 25.05]",235.8,436.9
Female,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.55,70.55,Yes,0,70.55,1,1,2,-1.3859641,-3.403758087,0.233594367,36.242466,-51.88188,"(58.83, 79.1]",70.55,70.55
Female,No,No,No,1,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.15,20.15,No,0,20.15,1,0,1,-4.474842401,-0.066954718,0.307012416,-71.26292,-3.4597602,"(18.249, 25.05]",20.15,20.15
Female,No,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),106.6,5893.95,No,4,105.2491071,1,1,0,3.515274517,-0.819718598,0.0613721,15.604535,-21.610586,"(94.25, 118.75]",106.6,5893.95
Male,No,No,Yes,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,91,1430.05,No,2,95.33666667,1,1,2,0.940860738,-2.417311457,0.222341439,-26.255707,-32.152836,"(79.1, 94.25]",91,1430.05
Male,No,Yes,Yes,12,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),25.4,313,No,0,26.08333333,24,0,1,-2.686473333,2.204375243,0.261971222,-22.3919,64.81168,"(25.05, 58.83]",609.6,313
Female,No,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,No,4,71.70092593,24,0,0,1.735933511,3.315903584,0.161051506,35.946888,35.326775,"(58.83, 79.1]",1678.8,3871.85
Female,No,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,No,2,65.44285714,1,0,2,-0.550616493,-2.30325311,0.222495653,2.7172692,-69.48525,"(58.83, 79.1]",66.85,458.1
Female,No,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),86.15,2745.7,Yes,1,83.2030303,1,1,2,0.433286112,-0.360994058,0.127825131,10.948295,-27.86847,"(79.1, 94.25]",86.15,2745.7
Male,No,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,20.15,341.35,No,0,21.334375,1,0,1,-3.624733677,0.166910827,0.215447452,-41.672626,-14.95661,"(18.249, 25.05]",20.15,341.35
Female,No,No,Yes,21,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,64.85,1336.8,No,3,63.65714286,12,0,2,-0.39487426,0.964416167,-0.017474272,5.676473,6.729863,"(58.83, 79.1]",778.2,1336.8
Male,Yes,Yes,No,30,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,74.85,2181.75,No,3,72.725,24,1,0,1.60145945,0.476345521,-0.000333799,51.246265,35.674057,"(58.83, 79.1]",1796.4,2181.75
Male,No,No,No,3,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.5,147.75,No,1,49.25,1,0,2,-2.331592398,-0.87912788,-0.011193998,-24.769445,2.8415685,"(25.05, 58.83]",50.5,147.75
Male,No,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,72.9,818.45,No,1,74.40454545,1,1,2,-0.890592138,-2.251300422,0.20386298,-35.131054,-40.012234,"(58.83, 79.1]",72.9,818.45
Female,No,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),115.05,7133.45,No,6,115.0556452,12,1,0,5.411227767,0.520659893,0.23413909,31.761398,5.1051784,"(94.25, 118.75]",1380.6,7133.45
Male,No,No,No,18,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,19,348.8,No,0,19.37777778,1,0,1,-3.817181603,-0.654235583,0.197143249,-44.281124,-19.927814,"(18.249, 25.05]",19,348.8
Male,No,No,Yes,6,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.55,128.6,No,0,21.43333333,1,0,1,-4.43290604,0.478194385,0.31352428,-59.6505,-17.974302,"(18.249, 25.05]",19.55,128.6
Female,No,No,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.1,4674.4,No,3,101.6173913,12,1,0,2.809971859,-1.662905209,-0.006785905,29.752308,-7.192891,"(94.25, 118.75]",1213.2,4674.4
Male,No,No,No,21,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.1,1737.45,No,1,82.73571429,1,1,2,0.193759276,-2.837352186,0.290938535,-30.697302,-44.394928,"(79.1, 94.25]",84.1,1737.45
Male,No,No,No,68,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),24.15,1498.85,No,0,22.04191176,24,0,1,-2.280585417,2.179675209,0.249966083,-19.996857,56.28251,"(18.249, 25.05]",579.6,1498.85
Female,No,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,50.1,50.1,No,0,50.1,1,0,2,-2.068089448,-2.217212288,0.12589181,-10.184237,-61.702744,"(25.05, 58.83]",50.1,50.1
Female,No,Yes,No,25,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.6,1797.75,No,1,71.91,1,1,2,-0.203426863,-1.982648495,0.228183816,4.2680554,-52.216904,"(58.83, 79.1]",74.6,1797.75
Female,No,No,Yes,24,Yes,No,No,No,No,No,No,No,No,Two year,No,Mailed check,19.75,498.1,No,0,20.75416667,24,0,1,-3.860717601,2.675487467,0.358701196,-42.751694,45.64547,"(18.249, 25.05]",474,498.1
Female,No,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85,2624.25,Yes,1,87.475,1,1,2,0.656045862,-2.302758956,0.252306069,5.6205544,-50.93393,"(79.1, 94.25]",85,2624.25
Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.55,184.1,Yes,1,92.05,1,1,2,-0.727927441,-2.802962085,0.240446919,3.619148,-65.86316,"(79.1, 94.25]",80.55,184.1
Male,No,Yes,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),106.8,5498.8,No,4,107.8196078,12,1,0,3.797081673,-0.392418545,0.14283604,23.6437,-9.908578,"(94.25, 118.75]",1281.6,5498.8
Female,No,Yes,Yes,57,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,84.5,4845.4,No,5,85.00701754,24,1,0,3.656007837,2.151052197,0.206822593,36.54752,37.863724,"(79.1, 94.25]",2028,4845.4
Female,No,No,No,15,Yes,Yes,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),25.05,369.1,No,0,24.60666667,24,0,1,-3.078367472,1.759981757,0.280524943,-30.033909,43.79115,"(18.249, 25.05]",601.2,369.1
Female,No,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),83.7,6096.9,No,6,84.67916667,24,1,0,4.089692041,3.311009485,0.27456092,39.446297,37.800163,"(79.1, 94.25]",2008.8,6096.9
Female,No,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.8,160.75,Yes,1,80.375,1,1,2,-0.707526878,-2.851943927,0.255144753,4.4848824,-66.53673,"(58.83, 79.1]",75.8,160.75
Male,No,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),96.6,2684.35,No,3,95.86964286,1,1,0,1.955209684,-0.65813518,-0.045269831,7.0147605,-20.00676,"(94.25, 118.75]",96.6,2684.35
Male,Yes,Yes,No,29,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,3004.15,Yes,3,103.5913793,1,1,2,2.604878284,-2.705130059,0.12647072,49.727093,-17.671507,"(94.25, 118.75]",98.5,3004.15
Male,No,Yes,Yes,70,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),101.1,6994.8,No,5,99.92571429,24,1,0,4.382067145,2.995592683,0.252858024,23.395164,53.773495,"(94.25, 118.75]",2426.4,6994.8
Female,No,No,No,13,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.2,273.25,No,0,21.01923077,12,0,1,-4.141486463,0.795221073,0.323354582,-65.47825,15.007002,"(18.249, 25.05]",242.4,273.25
Female,Yes,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,94.05,5483.9,No,4,92.94745763,12,1,0,3.601604494,-0.371031525,0.103596831,35.30638,-4.9935007,"(79.1, 94.25]",1128.6,5483.9
Male,Yes,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.25,1233.65,Yes,2,94.89615385,1,1,2,1.407418792,-3.168930969,0.230707972,50.685802,-20.135317,"(94.25, 118.75]",95.25,1233.65
Male,Yes,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.4,527.9,Yes,0,75.41428571,1,1,2,-1.122089196,-2.146924358,0.136204081,-10.674526,-11.551177,"(58.83, 79.1]",74.4,527.9
Female,No,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,81,4985.9,No,5,80.41774194,24,1,0,2.51991115,3.089049749,0.192579308,42.00826,22.176348,"(79.1, 94.25]",1944,4985.9
Female,No,No,No,21,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,60.25,1258.35,No,3,59.92142857,12,0,2,0.140227381,-0.273080787,0.105597586,9.800619,0.7231451,"(58.83, 79.1]",723,1258.35
